"Decretos";"Localidade";"Ementa";"Url";"Estado";"Tipo";"Tipo_Documento";"Cod_UF";"Nome_Mesorregião";"Codigo_Municipio"
"Decreto Nº 32378 de 4 de maio de 2020";"Salvador";"Dispõe sobre novas medidas de prevenção e controle para enfrentamento do COVID-19 no âmbito do município de Salvador.";"http://leismunicipa.is/gyhim";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 7342 de 4 de maio de 2020";"Camaçari";"Dispõe sobre medidas temporárias de prevenção e controle para enfrentamento do COVID-19, e dá outras providências.";"http://leismunicipa.is/maify";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2905701
"Decreto Nº 16 de 4 de maio de 2020";"Teodoro Sampaio";"Altera o Decreto Municipal nº 014, de 22 de abril de 2020, que declara situação de emergência e consolida medidas para enfrentamento da pandemia de importância internacional decorrente do novo coronavírus (COVID-19).";"http://leismunicipa.is/nayhk";"Bahia";"Municipal";"Decreto";29;"Centro Norte Baiano";2931400
"Decreto Nº 5270 de 30 de abril de 2020";"Alagoinhas";"DISPÕE SOBRE PRORROGAÇÃO DE ALVARÁS SANITÁRIOS.";"http://leismunicipa.is/cmdyh";"Bahia";"Municipal";"Decreto";29;"Nordeste Baiano";2900702
"Decreto Nº 32376 de 29 de abril de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário, no Orçamento Fiscal no montante de R$ 1.820.000,00 (hum milhão, oitocentos e vinte mil reais), para atender a ação de Combate a Pandemia do COVID-19.";"http://leismunicipa.is/ygmhi";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Lei Ordinária Nº 14261 de 29 de abril de 2020";"Bahia";"Dispõe sobre o uso obrigatório de máscaras pelas pessoas em circulação externa, bem como no trânsito, nos municípios em que estão em vigor os Decretos Legislativos de Reconhecimento de Estado de Calamidade Pública aprovados pela Assembleia Legislativa do Estado da Bahia e que tenham confirmado caso de COVID-19, como medida de enfretamento à propagação e infecção do Coronavírus, causador da COVID-19, na forma que indica, e dá outras providências.";"http://leisestaduais.com.br/ba/lei-ordinaria-n-14261-2020-bahia-dispoe-sobre-o-uso-obrigatorio-de-mascaras-pelas-pessoas-em-circulacao-externa-bem-como-no-transito-nos-municipios-em-que-estao-em-vigor-os-decretos-legislativos-de-reconhecimento-de-estado-de-calamidade-publica-aprovados-pela-assembleia-legislativa-do-estado-da-bahia-e-que-tenham-confirmado-caso-de-covid-19-como-medida-de-enfretamento-a-propagacao-e-infeccao-do-coronavirus-causador-da-covid-19-na-forma-que-indica-e-da-outras-providencias";"Bahia";"Estadual";"Lei";NA;NA;NA
"Decreto Nº 7340 de 29 de abril de 2020";"Camaçari";"Dispõe sobre a prorrogação de medidas temporárias de prevenção e controle para enfrentamento do COVID-19, no âmbito do Município de Camaçari/BA, e dá outras providências.";"http://leismunicipa.is/mayif";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2905701
"Lei Ordinária Nº 1436 de 28 de abril de 2020";"Barreiras";"<U+0093>Dispõe sobre autorização para abertura de Crédito Especial no orçamento vigente para criação de dotação especifica no combate à Covid-19 e dá outras providencias<U+0094>.";"http://leismunicipa.is/ihkym";"Bahia";"Municipal";"Lei";29;"Extremo Oeste Baiano";2903201
"Decreto Nº 32374 de 28 de abril de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário, nos Orçamentos Fiscal e da Seguridade Social no montante de R$ 35.214.815,00 (trinta e cinco milhões, duzentos e quatorze mil, oitocentos e quinze reais), para atender a ação de Combate a Pandemia do COVID-19.";"http://leismunicipa.is/ymfgd";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Lei Ordinária Nº 1624 de 27 de abril de 2020";"Camaçari";"Dispõe sobre medidas emergenciais envolvendo servidores públicos, objetivando o remanejamento de recurso públicos para enfrentamento da pandemia do COVID-19 e dá outras providências.";"http://leismunicipa.is/fyelj";"Bahia";"Municipal";"Lei";29;"Metropolitana de Salvador";2905701
"Decreto Nº 7338 de 24 de abril de 2020";"Camaçari";"Dispõe sobre a revogação do Decreto Municipal nº 7331, de 06 de abril de 2020.";"http://leismunicipa.is/yfkil";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2905701
"Decreto Nº 32368 de 24 de abril de 2020";"Salvador";"Define medidas complementares para o enfrentamento da pandemia decorrente do coronavírus.";"http://leismunicipa.is/cydlk";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32366 de 23 de abril de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/lyckd";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 7337 de 23 de abril de 2020";"Camaçari";"Altera o Decreto nº 7334, de 13 de abril de 2020, para incluir a obrigatoriedade da utilização de máscaras de proteção facial, como medida complementar de prevenção à disseminação do COVID-19, no âmbito do Município de Camaçari/BA.";"http://leismunicipa.is/yfkli";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2905701
"Decreto Nº 32364 de 22 de abril de 2020";"Salvador";"Dispõe sobre novas medidas de prevenção e controle para enfrentamento do COVID-19 no âmbito do município de Salvador.";"http://leismunicipa.is/lheay";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 14 de 22 de abril de 2020";"Teodoro Sampaio";"Declara situação de emergência e consolida medidas para enfrentamento da pandemia de importância internacional decorrente do novo coronavírus (COVID-19).";"http://leismunicipa.is/aynhk";"Bahia";"Municipal";"Decreto";29;"Centro Norte Baiano";2931400
"Decreto Nº 5265 de 20 de abril de 2020";"Alagoinhas";"PRORROGAÇÃO DE PRAZO DA COMISSÃO DE TOMADA DE CONTAS ESPECIAL INSTITUÍDA ATRAVÉS DO DECRETO Nº 5.234/2020";"http://leismunicipa.is/dykab";"Bahia";"Municipal";"Decreto";29;"Nordeste Baiano";2900702
"Decreto Nº 32356 de 20 de abril de 2020";"Salvador";"Dispõe sobre novas medidas de prevenção e controle para enfrentamento do COVID-19 no âmbito do município de Salvador.";"http://leismunicipa.is/ealfy";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32357 de 20 de abril de 2020";"Salvador";"Define medidas complementares para enfrentamento da pandemia decorrente do coronavirus.";"http://leismunicipa.is/dlyef";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
