CD_GEOCMU;CD_GEOCMU6DIG;NM_MUNICIP;NM_MUNICIP2;NRS;NM_RS;LONG;LAT;POP_MUN
2919553;291955;LUÍS EDUARDO MAGALHÃES;Luís Eduardo Magalhães;Oeste;Barreiras;-46,013079;-12,193702;87519
2919603;291960;MACAJUBA;Macajuba;Centro-leste;Itaberaba;-40,262256;-12,129296;11348
2919702;291970;MACARANI;Macarani;Sudoeste;Itapetinga;-40,400968;-15,545818;18755
2919801;291980;MACAÚBAS;Macaúbas;Sudoeste;Brumado;-42,692918;-13,108138;49826
2919900;291990;MACURURÉ;Macururé;Norte;Paulo Afonso;-38,896729;-9,291078;7824
2919926;291992;MADRE DE DEUS;Madre de Deus;Leste;Salvador;-38,642732;-12,741114;21093
2919959;291995;MAETINGA;Maetinga;Sudoeste;Vitória da Conquista;-41,516221;-14,655594;3161
2920007;292000;MAIQUINIQUE;Maiquinique;Sudoeste;Itapetinga;-40,269103;-15,674;10112
2920106;292010;MAIRI;Mairi;Centro-norte;Jacobina;-40,180633;-11,731684;18676
2920205;292020;MALHADA;Malhada;Sudoeste;Guanambi;-43,646023;-14,217166;16845
2920304;292030;MALHADA DE PEDRAS;Malhada de Pedras;Sudoeste;Brumado;-41,845423;-14,35221;8393
2920403;292040;MANOEL VITORINO;Manoel Vitorino;Sul;Jequié;-40,547598;-14,050875;13240
2920452;292045;MANSIDÃO;Mansidão;Oeste;Barreiras;-44,108375;-11,128067;13643
2920502;292050;MARACÁS;Maracás;Sul;Jequié;-40,555233;-13,495182;20834
2920601;292060;MARAGOGIPE;Maragogipe;Leste;Cruz das Almas;-38,938094;-12,823065;44677
2920700;292070;MARAÚ;Maraú;Sul;Itabuna;-39,150518;-14,155713;20570
2920809;292080;MARCIONÍLIO SOUZA;Marcionílio Souza;Centro-leste;Itaberaba;-40,675298;-13,140047;10406
2920908;292090;MASCOTE;Mascote;Sul;Ilhéus;-39,420513;-15,666085;13822
2921005;292100;MATA DE SÃO JOÃO;Mata de São João;Leste;Camaçari;-38,148861;-12,483976;46583
2921054;292105;MATINA;Matina;Sudoeste;Guanambi;-42,940068;-13,848844;12201
2921104;292110;MEDEIROS NETO;Medeiros Neto;Extremo sul;Teixeira de Freitas;-40,285633;-17,361298;22688
2921203;292120;MIGUEL CALMON;Miguel Calmon;Centro-norte;Jacobina;-40,624217;-11,420634;26023
2921302;292130;MILAGRES;Milagres;Leste;Santo Antônio de Jesus;-39,797586;-12,899946;10950
2921401;292140;MIRANGABA;Mirangaba;Centro-norte;Jacobina;-40,714509;-10,776985;18338
2921450;292145;MIRANTE;Mirante;Sudoeste;Vitória da Conquista;-40,764087;-14,167821;8641
2921500;292150;MONTE SANTO;Monte Santo;Centro-leste;Serrinha;-39,454202;-10,382988;49418
2921609;292160;MORPARÁ;Morpará;Oeste;Ibotirama;-43,039818;-11,75079;8519
2921708;292170;MORRO DO CHAPÉU;Morro do Chapéu;Centro-norte;Jacobina;-41,16706;-11,464875;35413
